Repository,Branch
project-adobe-commerce,1032
project-adobe-commerce,1079
project-adobe-commerce,1080
project-adobe-commerce,BUNDLE-ONLY-FOR-NPG
project-adobe-commerce,EM-734
project-adobe-commerce,EM-805
project-adobe-commerce,EM-817
project-adobe-commerce,EM-848
project-adobe-commerce,EM-853-SO
project-adobe-commerce,EM-857
project-adobe-commerce,EM-905
project-adobe-commerce,EM-922
project-adobe-commerce,EM-938
project-adobe-commerce,EM-963
project-adobe-commerce,EM-965
project-adobe-commerce,EM-968
project-adobe-commerce,EM-980
project-adobe-commerce,EM-981
project-adobe-commerce,EM-982
project-adobe-commerce,EM-996
project-adobe-commerce,EM-999
project-adobe-commerce,EM-1001
project-adobe-commerce,EM-1008
project-adobe-commerce,EM-1009
project-adobe-commerce,EM-1011
project-adobe-commerce,EM-1014
project-adobe-commerce,EM-1016
project-adobe-commerce,EM-1017
project-adobe-commerce,EM-1041
project-adobe-commerce,EM-1072
Concourse-NG,No branches or repo not found
myMTN-NG-App-DXL,master
myMTN-NG-App-DXL,security-scans
myMTNNG_Web,Auth0_gmail_logout
myMTNNG_Web,MPUL-39
myMTNNG_Web,MPUL-534-frontend
myMTNNG_Web,MPUL-539
myMTNNG_Web,MPUL-672-preprod
myMTNNG_Web,MPUL-672
myMTNNG_Web,MPUL-890
myMTNNG_Web,MPUL-G
myMTNNG_Web,MPUL-remove-phone
myMTNNG_Web,MPUL-spell-bee-fix
myMTNNG_Web,MPUL-yelloverse
myMTNNG_Web,NPG_airtime_buybundle
myMTNNG_Web,NPG_airtime_changes
myMTNNG_Web,NPG_bug_resolved_27apr
myMTNNG_Web,NPG_buy_bundle_new
myMTNNG_Web,NPG_chage_product_id
myMTNNG_Web,NPG_changes_28
myMTNNG_Web,NPG_chnages_27
myMTNNG_Web,NPG_custom_report
myMTNNG_Web,Next
myMTNNG_Web,PLAY-000-Daas-report-functionality-with-configurable
myMTNNG_Web,PLAY-000-add-channel-parameter-in-kyc-api
myMTNNG_Web,PLAY-000-added-roboot-and-composer-changes
myMTNNG_Web,PLAY-000-auth0-jwt-deprecated
myMTNNG_Web,PLAY-000-dynamic-button-option-select-on-partner-paragraph
myMTNNG_Web,PLAY-000-search-issue
myMTNNG_Web,PLAY-344-section-category-rule
myMTNNG_Web,PLAY-365-faq
myMTNNG_Web,PLAY-365-faq-general
myMTNNG_Web,PLAY-429-secure-admin-changes
terraform-azurerm-caf,Mobizinc-app_settings
terraform-azurerm-caf,agw-patch
terraform-azurerm-caf,int-5.6.0
terraform-azurerm-caf,int-azrm-3.7.0
terraform-azurerm-caf,integration-gitlab
terraform-azurerm-caf,integration-gitlab-support-variables
terraform-azurerm-caf,main
terraform-azurerm-caf,patch.ad.group_owners
terraform-azurerm-caf,patch.private_endpoint_dns
terraform-azurerm-caf,patch.3.0
terraform-azurerm-caf,sm-apim_custom_domain
terraform-azurerm-caf,sm-azuread_graph
terraform-azurerm-caf,sm-pr918
terraform-azurerm-caf,sm-synapse
terraform-azurerm-caf,sm-vmss_extensions
terraform-azurerm-caf,sm-vmssextension
terraform-azurerm-caf,vmss-naming-update
Code-Management,NG_ESS_Test_ENV_01
Code-Management,NG_ESS_Test_ENV_02
Code-Management,ProdCode_BoostNigeria
Code-Management,SITCode_BoostNigeria
Code-Management,UATCode_BoostNigeria
Code-Management,main
Code-Management,security-scans
TaaS_CLMAutomation,main
TaaS_CLMAutomation,security-scans
TaaS_BiosmartAutomation,codeql-config
TaaS_BiosmartAutomation,main
TaaS_BiosmartAutomation,security-scans
TaaS_MyMTNWebAutomation,main
TaaS_MyMTNWebAutomation,security-scans
TaaS_PSBAutomation,main
TaaS_PSBAutomation,security-scans
